level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	6	1	3	0	567	53	37	13	-1	
5	1	6	1	3	1	567	53	37	13	96.406555	0.5%
4	1	6	1	4	0	567	77	37	13	-1	
5	1	6	1	4	1	567	77	37	13	94.560379	0.3%
4	1	6	1	5	0	567	102	37	13	-1	
5	1	6	1	5	1	567	102	37	13	94.560379	0.3%
4	1	6	1	6	0	567	126	37	13	-1	
5	1	6	1	6	1	567	126	37	13	94.711441	0.3%
4	1	6	1	7	0	567	151	37	13	-1	
5	1	6	1	7	1	567	151	37	13	89.944389	0.4%
4	1	6	1	8	0	567	174	37	13	-1	
5	1	6	1	8	1	567	174	37	13	96.384331	0.2%
4	1	6	1	9	0	564	199	40	13	-1	
5	1	6	1	9	1	564	199	40	13	95.440399	0.3%
4	1	6	1	10	0	567	223	37	13	-1	
5	1	6	1	10	1	567	223	37	13	94.560379	0.3%
4	1	6	1	11	0	567	248	37	13	-1	
5	1	6	1	11	1	567	248	37	13	94.560379	0.3%
4	1	6	1	12	0	567	272	37	13	-1	
5	1	6	1	12	1	567	272	37	13	95.776329	0.6%
4	1	6	1	13	0	567	296	37	13	-1	
5	1	6	1	13	1	567	296	37	13	89.944389	0.4%
4	1	6	1	14	0	567	320	37	13	-1	
5	1	6	1	14	1	567	320	37	13	94.560379	0.3%
4	1	6	1	15	0	567	345	37	13	-1	
5	1	6	1	15	1	567	345	37	13	96.384331	0.2%
4	1	6	1	16	0	567	369	37	13	-1	
5	1	6	1	16	1	567	369	37	13	94.560379	0.3%
4	1	6	1	17	0	567	394	37	13	-1	
5	1	6	1	17	1	567	394	37	13	96.384331	0.2%
4	1	6	1	18	0	567	417	37	13	-1	
5	1	6	1	18	1	567	417	37	13	94.560379	0.3%
4	1	6	1	19	0	567	442	37	13	-1	
5	1	6	1	19	1	567	442	37	13	96.384331	0.2%
4	1	6	1	20	0	567	466	37	13	-1	
5	1	6	1	20	1	567	466	37	13	96.384331	0.2%
4	1	6	1	21	0	567	491	37	13	-1	
5	1	6	1	21	1	567	491	37	13	94.560379	0.3%
4	1	6	1	22	0	564	515	40	13	-1	
5	1	6	1	22	1	564	515	40	13	93.415550	0.4%
2	1	7	0	0	0	647	5	41	523	-1	
3	1	7	1	0	0	647	5	41	523	-1	
4	1	7	1	1	0	651	5	37	13	-1	
5	1	7	1	1	1	651	5	37	13	96.066017	0.0%
4	1	7	1	2	0	651	29	37	13	-1	
5	1	7	1	2	1	651	29	37	13	96.066017	0.0%
4	1	7	1	3	0	651	53	37	13	-1	
5	1	7	1	3	1	651	53	37	13	96.739479	0.1%
4	1	7	1	4	0	651	77	37	13	-1	
5	1	7	1	4	1	651	77	37	13	96.739479	0.1%
4	1	7	1	5	0	651	102	37	13	-1	
5	1	7	1	5	1	651	102	37	13	96.739479	0.1%
4	1	7	1	6	0	651	126	37	13	-1	
5	1	7	1	6	1	651	126	37	13	96.066017	0.0%
4	1	7	1	7	0	651	151	37	13	-1	
5	1	7	1	7	1	651	151	37	13	96.066017	0.0%
4	1	7	1	8	0	651	174	37	13	-1	
5	1	7	1	8	1	651	174	37	13	96.739479	0.1%
4	1	7	1	9	0	647	199	41	13	-1	
5	1	7	1	9	1	647	199	41	13	92.059158	0.1%
4	1	7	1	10	0	651	223	37	13	-1	
5	1	7	1	10	1	651	223	37	13	96.066017	0.0%
4	1	7	1	11	0	651	248	37	13	-1	
5	1	7	1	11	1	651	248	37	13	96.739479	0.1%
4	1	7	1	12	0	651	272	37	13	-1	
5	1	7	1	12	1	651	272	37	13	96.066017	0.0%
4	1	7	1	13	0	651	296	37	13	-1	
5	1	7	1	13	1	651	296	37	13	96.066017	0.0%
4	1	7	1	14	0	651	320	37	13	-1	
5	1	7	1	14	1	651	320	37	13	96.739479	0.1%
4	1	7	1	15	0	651	345	37	13	-1	
5	1	7	1	15	1	651	345	37	13	96.739479	0.1%
4	1	7	1	16	0	651	369	37	13	-1	
5	1	7	1	16	1	651	369	37	13	96.066017	0.0%
4	1	7	1	17	0	651	394	37	13	-1	
5	1	7	1	17	1	651	394	37	13	96.739479	0.1%
4	1	7	1	18	0	651	417	37	13	-1	
5	1	7	1	18	1	651	417	37	13	96.066017	0.0%
4	1	7	1	19	0	651	442	37	13	-1	
5	1	7	1	19	1	651	442	37	13	96.739479	0.1%
4	1	7	1	20	0	651	466	37	13	-1	
5	1	7	1	20	1	651	466	37	13	96.739479	0.1%
4	1	7	1	21	0	651	491	37	13	-1	
5	1	7	1	21	1	651	491	37	13	96.066017	0.0%
4	1	7	1	22	0	647	515	41	13	-1	
5	1	7	1	22	1	647	515	41	13	94.894402	0.1%
2	1	8	0	0	0	721	5	81	525	-1	
3	1	8	1	0	0	721	5	81	525	-1	
4	1	8	1	1	0	751	5	51	15	-1	
5	1	8	1	1	1	751	5	51	15	95.890083	65,032
4	1	8	1	2	0	751	29	51	15	-1	
5	1	8	1	2	1	751	29	51	15	95.302910	62,345
4	1	8	1	3	0	751	53	51	15	-1	
5	1	8	1	3	1	751	53	51	15	96.775818	65,806
4	1	8	1	4	0	751	77	51	15	-1	
5	1	8	1	4	1	751	77	51	15	95.993813	60,437
4	1	8	1	5	0	751	102	51	15	-1	
5	1	8	1	5	1	751	102	51	15	96.692558	59,572
4	1	8	1	6	0	751	126	51	15	-1	
5	1	8	1	6	1	751	126	51	15	96.389000	62,358
4	1	8	1	7	0	751	151	51	15	-1	
5	1	8	1	7	1	751	151	51	15	96.771584	61,598
4	1	8	1	8	0	751	174	51	15	-1	
5	1	8	1	8	1	751	174	51	15	96.600616	65,148
4	1	8	1	9	0	736	199	66	15	-1	
5	1	8	1	9	1	736	199	66	15	95.837845	782,829
4	1	8	1	10	0	751	223	51	15	-1	
5	1	8	1	10	1	751	223	51	15	96.468582	64,207
4	1	8	1	11	0	751	248	49	15	-1	
5	1	8	1	11	1	751	248	49	15	95.561859	61,481
4	1	8	1	12	0	751	272	51	15	-1	
5	1	8	1	12	1	751	272	51	15	96.628883	67,665
4	1	8	1	13	0	751	296	51	15	-1	
5	1	8	1	13	1	751	296	51	15	96.720444	65,790
4	1	8	1	14	0	751	320	49	15	-1	
5	1	8	1	14	1	751	320	49	15	95.413864	67,471
4	1	8	1	15	0	751	345	51	15	-1	
5	1	8	1	15	1	751	345	51	15	95.723152	66,894
4	1	8	1	16	0	751	369	51	15	-1	
